N M s c reps pFix
1000 10000 0.1 1.0 10 0.178571428571
1000 10000 0.1 1.09749876549 10 0.232558139535
1000 10000 0.1 1.20450354026 10 0.161290322581
1000 10000 0.1 1.32194114847 10 0.140845070423
1000 10000 0.1 1.4508287785 10 0.166666666667
1000 10000 0.1 1.59228279334 10 0.232558139535
1000 10000 0.1 1.74752840001 10 0.25641025641
1000 10000 0.1 1.91791026167 10 0.185185185185
1000 10000 0.1 2.10490414451 10 0.204081632653
1000 10000 0.1 2.31012970008 10 0.232558139535
1000 10000 0.1 2.53536449397 10 0.172413793103
1000 10000 0.1 2.78255940221 10 0.147058823529
1000 10000 0.1 3.05385550883 10 0.172413793103
1000 10000 0.1 3.35160265094 10 0.208333333333
1000 10000 0.1 3.67837977183 10 0.232558139535
1000 10000 0.1 4.0370172586 10 0.169491525424
1000 10000 0.1 4.43062145758 10 0.140845070423
1000 10000 0.1 4.86260158007 10 0.357142857143
1000 10000 0.1 5.33669923121 10 0.37037037037
1000 10000 0.1 5.85702081806 10 0.128205128205
1000 10000 0.1 6.42807311728 10 0.0806451612903
1000 10000 0.1 7.05480231072 10 0.208333333333
1000 10000 0.1 7.74263682681 10 0.153846153846
1000 10000 0.1 8.49753435909 10 0.232558139535
1000 10000 0.1 9.32603346883 10 0.196078431373
1000 10000 0.1 10.235310219 10 0.232558139535
1000 10000 0.1 11.2332403298 10 0.144927536232
1000 10000 0.1 12.3284673944 10 0.188679245283
1000 10000 0.1 13.5304777458 10 0.161290322581
1000 10000 0.1 14.8496826225 10 0.131578947368
1000 10000 0.1 16.2975083462 10 0.161290322581
1000 10000 0.1 17.8864952906 10 0.138888888889
1000 10000 0.1 19.6304065004 10 0.12987012987
1000 10000 0.1 21.5443469003 10 0.178571428571
1000 10000 0.1 23.6448941265 10 0.181818181818
1000 10000 0.1 25.950242114 10 0.384615384615
1000 10000 0.1 28.4803586844 10 0.185185185185
1000 10000 0.1 31.2571584969 10 0.232558139535
1000 10000 0.1 34.3046928631 10 0.144927536232
1000 10000 0.1 37.6493580679 10 0.142857142857
1000 10000 0.1 41.3201240012 10 0.172413793103
1000 10000 0.1 45.3487850813 10 0.169491525424
1000 10000 0.1 49.7702356433 10 0.232558139535
1000 10000 0.1 54.6227721768 10 0.140845070423
1000 10000 0.1 59.9484250319 10 0.263157894737
1000 10000 0.1 65.7933224658 10 0.125
1000 10000 0.1 72.2080901839 10 0.344827586207
1000 10000 0.1 79.2482898354 10 0.125
1000 10000 0.1 86.9749002618 10 0.142857142857
1000 10000 0.1 95.4548456662 10 0.169491525424
1000 10000 0.1 104.761575279 10 0.15625
1000 10000 0.1 114.97569954 10 0.15873015873
1000 10000 0.1 126.185688307 10 0.142857142857
1000 10000 0.1 138.488637139 10 0.13698630137
1000 10000 0.1 151.991108295 10 0.138888888889
1000 10000 0.1 166.81005372 10 0.133333333333
1000 10000 0.1 183.07382803 10 0.212765957447
1000 10000 0.1 200.923300257 10 0.147058823529
1000 10000 0.1 220.51307399 10 0.172413793103
1000 10000 0.1 242.012826479 10 0.178571428571
1000 10000 0.1 265.608778295 10 0.185185185185
1000 10000 0.1 291.505306283 10 0.169491525424
1000 10000 0.1 319.92671378 10 0.196078431373
1000 10000 0.1 351.119173422 10 0.243902439024
1000 10000 0.1 385.352859371 10 0.113636363636
1000 10000 0.1 422.924287439 10 0.30303030303
1000 10000 0.1 464.158883361 10 0.151515151515
1000 10000 0.1 509.413801482 10 0.144927536232
1000 10000 0.1 559.081018251 10 0.102040816327
1000 10000 0.1 613.590727341 10 0.140845070423
1000 10000 0.1 673.415065775 10 0.2
1000 10000 0.1 739.072203353 10 0.263157894737
1000 10000 0.1 811.13083079 10 0.147058823529
1000 10000 0.1 890.215085445 10 0.217391304348
1000 10000 0.1 977.009957299 10 0.16393442623
1000 10000 0.1 1072.26722201 10 0.212765957447
1000 10000 0.1 1176.81195243 10 0.147058823529
1000 10000 0.1 1291.54966501 10 0.108695652174
1000 10000 0.1 1417.47416293 10 0.125
1000 10000 0.1 1555.67614393 10 0.169491525424
1000 10000 0.1 1707.35264747 10 0.114942528736
1000 10000 0.1 1873.81742286 10 0.121951219512
1000 10000 0.1 2056.51230835 10 0.243902439024
1000 10000 0.1 2257.01971963 10 0.0854700854701
1000 10000 0.1 2477.07635599 10 0.161290322581
1000 10000 0.1 2718.58824273 10 0.15625
1000 10000 0.1 2983.64724028 10 0.10101010101
1000 10000 0.1 3274.54916288 10 0.12987012987
1000 10000 0.1 3593.8136638 10 0.138888888889
1000 10000 0.1 3944.20605944 10 0.0892857142857
1000 10000 0.1 4328.76128108 10 0.113636363636
1000 10000 0.1 4750.8101621 10 0.192307692308
1000 10000 0.1 5214.008288 10 0.0584795321637
1000 10000 0.1 5722.36765935 10 0.10989010989
1000 10000 0.1 6280.29144183 10 0.0813008130081
1000 10000 0.1 6892.61210435 10 0.0645161290323
1000 10000 0.1 7564.63327555 10 0.0675675675676
1000 10000 0.1 8302.17568132 10 0.0301204819277
1000 10000 0.1 9111.62756115 10 0.0151057401813
